World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
947	University of Alabama in Huntsville	USA	209	-	-	-	910	70.6
948	University of Regina	Canada	27	-	-	-	911	70.6
949	University of Technology, Malaysia	Malaysia	5	-	-	-	912	70.6
950	University of Toyama	Japan	47	-	471	-	939	70.6
951	Shiraz University	Iran	10	-	-	-	913	70.6
952	China Pharmaceutical University	China	102	-	1194	-	915	70.6
953	Nara Institute of Science and Technology	Japan	48	-	-	-	914	70.6
954	Northumbria University	United Kingdom	62	-	829	-	921	70.6
955	University of Bucharest	Romania	3	419	-	-	918	70.6
956	Florida Institute of Technology	USA	210	-	584	-	935	70.5
957	Xiangtan University	China	103	-	954	-	920	70.5
958	Federal University of ABC	Brazil	20	-	-	-	922	70.5
959	COMSATS University Islamabad	Pakistan	3	-	-	-	923	70.5
960	Metropolitan Autonomous University	Mexico	4	-	-	-	924	70.5
961	Anhui University	China	104	-	957	-	927	70.5
962	Nicolaus Copernicus University	Poland	12	-	-	-	925	70.5
963	Åbo Akademi University	Finland	8	-	-	-	926	70.5
964	American University	USA	211	-	340	-	974	70.5
965	Guangzhou Medical University	China	105	-	-	-	928	70.5
966	Creighton University	USA	212	-	-	-	929	70.5
967	Hangzhou Normal University	China	106	-	1397	-	930	70.5
968	SUNY Upstate Medical University	USA	213	-	-	-	931	70.5
969	Indian Institute of Technology Guwahati	India	15	-	-	-	932	70.5
970	Auckland University of Technology	New Zealand	6	-	-	-	933	70.5
971	Royal College of Surgeons in Ireland	Ireland	6	-	-	-	934	70.5
972	New Jersey Institute of Technology	USA	214	412	712	-	942	70.5
973	Jichi Medical University	Japan	49	-	-	-	936	70.4
974	Jawaharlal Nehru University	India	16	93	-	203	1196	70.4
975	Hallym University	South Korea	34	-	-	-	938	70.4
976	Shanghai Normal University	China	107	-	1225	-	940	70.4
977	Alexandria University	Egypt	4	285	1469	-	944	70.4
978	Hunter College	USA	215	244	1142	-	951	70.4
979	University of Mannheim	Germany	53	-	889	-	945	70.4
980	Postgraduate Institute of Medical Education and Research	India	17	-	-	-	941	70.4
981	King Juan Carlos University	Spain	35	-	-	-	943	70.4
982	Guangdong University of Technology	China	108	-	-	-	946	70.4
983	Tomsk State University	Russia	7	-	-	-	947	70.4
984	Ningbo University	China	109	-	1444	-	949	70.4
985	Zhejiang Normal University	China	110	-	-	-	948	70.4
986	Dankook University	South Korea	35	-	1443	-	950	70.4
987	Anhui Medical University	China	111	-	-	-	952	70.4
988	Howard University	USA	216	-	-	-	953	70.4
989	Toulouse 1 Capitole University	France	58	-	-	191	1083	70.3
990	Khalifa University	United Arab Emirates	1	-	-	-	954	70.3
991	Florida Atlantic University	USA	217	-	-	-	955	70.3
992	Capital Normal University	China	112	-	923	-	959	70.3
993	Paderborn University	Germany	54	-	1235	-	956	70.3
994	New York Medical College	USA	218	-	-	-	957	70.3
995	Medical University of Gdańsk	Poland	13	-	-	-	958	70.3
996	University of Augsburg	Germany	55	-	-	-	960	70.3
997	Aston University	United Kingdom	63	-	631	-	970	70.3
998	Henan University	China	113	-	-	-	961	70.3
999	Guangxi University	China	114	-	-	-	962	70.3
1000	Federal University of Rio Grande do Norte	Brazil	21	-	-	-	963	70.3
